person_id,first_name,last_name,display_last_comma_first
1718,Paul,Pierce,"Pierce, Paul"
203894,Shabazz,Napier,"Napier, Shabazz"
101135,David,Lee,"Lee, David"
2736,Luol,Deng,"Deng, Luol"
203254,JaMychal,Green,"Green, JaMychal"
203457,Nerlens,Noel,"Noel, Nerlens"
203539,Gal,Mekel,"Mekel, Gal"
203897,Zach,LaVine,"LaVine, Zach"
101161,Amir,Johnson,"Johnson, Amir"
203382,Aron,Baynes,"Baynes, Aron"
203810,Casper,Ware,"Ware, Casper"
201947,Earl,Clark,"Clark, Earl"
202715,Tyler,Honeycutt,"Honeycutt, Tyler"
203956,Mitch,McGary,"McGary, Mitch"
101141,Ersan,Ilyasova,"Ilyasova, Ersan"
203093,Terrence,Jones,"Jones, Terrence"
1740,Rashard,Lewis,"Lewis, Rashard"
204067,Jarell,Eddie,"Eddie, Jarell"
1717,Dirk,Nowitzki,"Nowitzki, Dirk"
203109,Jae,Crowder,"Crowder, Jae"
2545,Darko,Milicic,"Milicic, Darko"
202331,Paul,George,"George, Paul"
101106,Andrew,Bogut,"Bogut, Andrew"
101249,John,"Lucas III","Lucas III, John"
203118,Mike,Scott,"Scott, Mike"
201623,Semih,Erden,"Erden, Semih"
2757,Beno,Udrih,"Udrih, Beno"
201986,Nando,"De Colo","De Colo, Nando"
2747,J.R.,Smith,"Smith, J.R."
1710,Mike,Bibby,"Bibby, Mike"
201604,Chris,Douglas-Roberts,"Douglas-Roberts, Chris"
201595,Joey,Dorsey,"Dorsey, Joey"
203143,Pablo,Prigioni,"Prigioni, Pablo"
203504,Trey,Burke,"Burke, Trey"
255,Grant,Hill,"Hill, Grant"
201567,Kevin,Love,"Love, Kevin"
2756,Sasha,Vujacic,"Vujacic, Sasha"
203928,Cory,Jefferson,"Jefferson, Cory"
201948,Austin,Daye,"Daye, Austin"
203138,Hollis,Thompson,"Thompson, Hollis"
203006,Josh,Akognon,"Akognon, Josh"
202399,Jeff,Adrien,"Adrien, Jeff"
203186,Willie,Reed,"Reed, Willie"
202970,Gustavo,Ayon,"Ayon, Gustavo"
203481,Jeff,Withey,"Withey, Jeff"
201152,Thaddeus,Young,"Young, Thaddeus"
203459,Allen,Crabbe,"Crabbe, Allen"
203921,Cleanthony,Early,"Early, Cleanthony"
201593,Nikola,Pekovic,"Pekovic, Nikola"
1515,Anthony,Parker,"Parker, Anthony"
1730,Brian,Skinner,"Skinner, Brian"
101115,Andrew,Bynum,"Bynum, Andrew"
203105,Festus,Ezeli,"Ezeli, Festus"
202342,Craig,Brackins,"Brackins, Craig"
101120,Antoine,Wright,"Wright, Antoine"
203467,Carrick,Felix,"Felix, Carrick"
200755,JJ,Redick,"Redick, JJ"
203527,Ryan,Kelly,"Kelly, Ryan"
201164,Rudy,Fernandez,"Fernandez, Rudy"
101108,Chris,Paul,"Paul, Chris"
204014,Damjan,Rudez,"Rudez, Damjan"
203482,Kelly,Olynyk,"Olynyk, Kelly"
203474,DJ,Stephens,"Stephens, DJ"
2557,Luke,Ridnour,"Ridnour, Luke"
202351,Lazar,Hayward,"Hayward, Lazar"
202721,Darius,Morris,"Morris, Darius"
203462,Archie,Goodwin,"Goodwin, Archie"
1713,Vince,Carter,"Carter, Vince"
203963,Shayne,Whittington,"Whittington, Shayne"
203090,Maurice,Harkless,"Harkless, Maurice"
203924,Jerami,Grant,"Grant, Jerami"
200756,Hilton,Armstrong,"Armstrong, Hilton"
203471,Dennis,Schroder,"Schroder, Dennis"
2229,Mike,James,"James, Mike"
202385,Ryan,Reid,"Reid, Ryan"
201951,Ty,Lawson,"Lawson, Ty"
686,Antonio,McDyess,"McDyess, Antonio"
202148,Mickell,Gladness,"Gladness, Mickell"
203114,Khris,Middleton,"Middleton, Khris"
101129,Luther,Head,"Head, Luther"
2584,Willie,Green,"Green, Willie"
711,Jerry,Stackhouse,"Stackhouse, Jerry"
200809,Chris,Quinn,"Quinn, Chris"
202081,Garret,Siler,"Siler, Garret"
2574,Jason,Kapono,"Kapono, Jason"
202731,Vernon,Macklin,"Macklin, Vernon"
2549,Chris,Kaman,"Kaman, Chris"
2048,Jamaal,Magloire,"Magloire, Jamaal"
201957,Byron,Mullens,"Mullens, Byron"
201160,Jason,Smith,"Smith, Jason"
201177,Josh,McRoberts,"McRoberts, Josh"
202697,Iman,Shumpert,"Shumpert, Iman"
202390,Gary,Neal,"Neal, Gary"
203521,Matthew,Dellavedova,"Dellavedova, Matthew"
202365,Devin,Ebanks,"Ebanks, Devin"
203076,Anthony,Davis,"Davis, Anthony"
202379,Jeremy,Evans,"Evans, Jeremy"
101110,Martell,Webster,"Webster, Martell"
202723,Malcolm,Lee,"Lee, Malcolm"
203945,Alex,Kirk,"Kirk, Alex"
200782,PJ,Tucker,"Tucker, PJ"
2407,Jared,Jeffries,"Jeffries, Jared"
980,Zydrunas,Ilgauskas,"Ilgauskas, Zydrunas"
1882,Elton,Brand,"Brand, Elton"
