players_espn_id,player_id,player_name,college_name,height,weight,player_url,pos,jersey
447,2528473,Okaro White,Florida State,6-8,204,http://www.espn.com/nba/player/_/id/2528473/okaro-white,PF,15
448,4262,Hassan Whiteside,Marshall,7-0,265,http://www.espn.com/nba/player/_/id/4262/hassan-whiteside,C,21
449,6480,Derrick Williams,Arizona,6-8,240,http://www.espn.com/nba/player/_/id/6480/derrick-williams,PF,22
450,3135047,Justise Winslow,Duke,6-7,225,http://www.espn.com/nba/player/_/id/3135047/justise-winslow,SF,20
451,3415,D.J. Augustin,Texas,6-0,183,http://www.espn.com/nba/player/_/id/3415/d.j.-augustin,PG,14
452,6427,Bismack Biyombo, ,6-9,255,http://www.espn.com/nba/player/_/id/6427/bismack-biyombo,C,11
453,6588,Evan Fournier, ,6-7,205,http://www.espn.com/nba/player/_/id/6588/evan-fournier,SG,10
454,3064290,Aaron Gordon,Arizona,6-9,220,http://www.espn.com/nba/player/_/id/3064290/aaron-gordon,PF,00
455,3209,Jeff Green,Georgetown,6-9,235,http://www.espn.com/nba/player/_/id/3209/jeff-green,SF,34
456,2995706,Mario Hezonja, ,6-8,218,http://www.espn.com/nba/player/_/id/2995706/mario-hezonja,SG,8
457,3439,Serge Ibaka, ,6-10,235,http://www.espn.com/nba/player/_/id/3439/serge-ibaka,PF,7
458,4003,Jodie Meeks,Kentucky,6-4,210,http://www.espn.com/nba/player/_/id/4003/jodie-meeks,SG,20
459,2583639,Elfrid Payton,Louisiana-Lafayette,6-4,185,http://www.espn.com/nba/player/_/id/2583639/elfrid-payton,PG,4
460,2309097,Damjan Rudez, ,6-10,228,http://www.espn.com/nba/player/_/id/2309097/damjan-rudez,SF,3
461,6478,Nikola Vucevic,USC,7-0,260,http://www.espn.com/nba/player/_/id/6478/nikola-vucevic,C,9
462,3277,C.J. Watson,Tennessee,6-2,175,http://www.espn.com/nba/player/_/id/3277/c.j.-watson,PG,32
463,2488999,CJ Wilcox,Washington,6-5,195,http://www.espn.com/nba/player/_/id/2488999/cj-wilcox,SG,23
464,3936102,Stephen Zimmerman,UNLV,7-0,240,http://www.espn.com/nba/player/_/id/3936102/stephen-zimmerman,C,33
465,6580,Bradley Beal,Florida,6-5,207,http://www.espn.com/nba/player/_/id/6580/bradley-beal,SG,3
466,2579260,Trey Burke,Michigan,6-1,191,http://www.espn.com/nba/player/_/id/2579260/trey-burke,PG,33
467,2758,Marcin Gortat, ,6-11,240,http://www.espn.com/nba/player/_/id/2758/marcin-gortat,C,13
468,2991155,Danuel House Jr.,Texas A&M,6-7,215,http://www.espn.com/nba/player/_/id/2991155/danuel-house-jr.,PF,4
469,2774,Ian Mahinmi, ,6-11,262,http://www.espn.com/nba/player/_/id/2774/ian-mahinmi,C,28
